"participant" "language" "item" "repetition" "vot"
"biling08" "english" "tug" 2 35.15
"biling08" "english" "tug" 3 45.31
"biling08" "spanish" "da" 1 -72.94
"biling08" "spanish" "da" 2 -57.19
"biling08" "spanish" "da" 3 -40.82
"biling08" "spanish" "de" 1 -81.05
"biling08" "spanish" "de" 2 -40.92
"biling08" "spanish" "de" 3 -54.96
"biling08" "spanish" "di" 1 -57.3
"biling08" "spanish" "di" 2 -54.52
"biling08" "spanish" "di" 3 -64.89
"biling08" "spanish" "te" 1 7.11
"biling08" "spanish" "te" 2 10.94
"biling08" "spanish" "te" 3 19.17
"biling08" "spanish" "ti" 1 4.63
"biling08" "spanish" "ti" 2 6.68
"biling08" "spanish" "ti" 3 -3.85
"biling08" "spanish" "tu" 1 22.93
"biling08" "spanish" "tu" 2 12.77
"biling08" "spanish" "tu" 3 4.51
"biling09" "english" "dig" 1 17.12
"biling09" "english" "dig" 2 -2.95
"biling09" "english" "dig" 3 18.43
"biling09" "english" "dog" 1 20.59
"biling09" "english" "dog" 2 4.27
"biling09" "english" "dog" 3 16.69
"biling09" "english" "dug" 1 6.97
"biling09" "english" "dug" 2 21.87
"biling09" "english" "dug" 3 8.74
"biling09" "english" "tag" 1 49.46
"biling09" "english" "tag" 2 65.03
"biling09" "english" "tag" 3 79.15
"biling09" "english" "tog" 1 47.91
"biling09" "english" "tog" 2 60.77
"biling09" "english" "tog" 3 38.05
"biling09" "english" "tug" 1 44.77
"biling09" "english" "tug" 2 42.15
"biling09" "english" "tug" 3 10.92
"biling09" "spanish" "da" 1 -54.81
"biling09" "spanish" "da" 2 -43.77
"biling09" "spanish" "da" 3 -56.61
"biling09" "spanish" "de" 1 -72.92
"biling09" "spanish" "de" 2 -57.55
"biling09" "spanish" "de" 3 -54.15
"biling09" "spanish" "di" 1 -59.42
"biling09" "spanish" "di" 2 -71.76
"biling09" "spanish" "di" 3 -46.78
"biling09" "spanish" "te" 1 14.86
"biling09" "spanish" "te" 2 29.85
"biling09" "spanish" "te" 3 24.02
"biling09" "spanish" "ti" 1 6.62
"biling09" "spanish" "ti" 2 7.3
"biling09" "spanish" "ti" 3 -3.07
"biling09" "spanish" "tu" 1 11.07
"biling09" "spanish" "tu" 2 6.44
"biling09" "spanish" "tu" 3 13.06
