INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD
-2097,11/09/1998 07:26:00 PM,9800858,P98131117,DISTRICT 3,9825,CHEMICAL IRRITANT,6XX ROEBLING,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
4554,03/20/2009 03:35:00 PM,2009-127963,LCP,VORTEX UNIT,9826,INJURY TO PRISONER,10XX SCYAMORE ST,,,FEMALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-1863,08/19/1998 07:37:00 PM,9800623,P982311046,DISTRICT 3,9825,CHEMICAL IRRITANT,28XX LAFUEILLE,,,FEMALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-7307,09/19/2003 02:54:00 PM,20030732,P032620976,DISTRICT 2,9826,INJURY TO PRISONER,36XX WOODFORD AV,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-1010,09/19/1997 11:50:00 PM,9701249,P972621153,DISTRICT 5,9825,CHEMICAL IRRITANT,32XX CENTRAL PKWY,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-7555,01/29/2004 04:08:00 PM,20040054,P040290979,DISTRICT 1,9826,INJURY TO PRISONER,13XX REPUBLIC ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-7555,01/29/2004 04:08:00 PM,20040054,P040290979,DISTRICT 1,9826,INJURY TO PRISONER,13XX REPUBLIC ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-8254,09/29/2004 04:49:00 PM,20040765,P042731202,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX MCPHERSON AV,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-1829,08/03/1998 05:34:00 PM,9800589,P982150961,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,70XX SALEM AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1829,08/03/1998 05:34:00 PM,9800589,P982150961,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,70XX SALEM AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2836,12/15/2006 07:34:00 PM,2006-92385,P063491643,DISTRICT 3,9826,INJURY TO PRISONER,22XX WYOMING AV 9,,,MALE,BLACK,ADULT,MALE,HISPANIC/LATINO,N/A,N/A,N/A
7697,11/22/2014 04:22:00 PM,2014-197168,LCP141122000,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX E FIFTH ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
7697,11/22/2014 04:22:00 PM,2014-197168,LCP141122000,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX E FIFTH ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-6344,09/10/2002 10:26:00 PM,20020599,P022531751,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,2XX E ROCHELLE AV,,,MALE,BLACK,UNKNOWN,MALE,HISPANIC/LATINO,N/A,N/A,N/A
-7917,06/01/2004 12:47:00 PM,20040418,P41530821,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX COATES ALLEY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5660,11/12/2001 04:25:00 PM,20011089,P013160899,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,58XX PEABODY AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
1850,12/24/2005 01:04:00 AM,2005-76848,P053580016,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX STETSON AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
1850,12/24/2005 01:04:00 AM,2005-76848,P053580016,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX STETSON AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-4570,12/31/2000 02:15:00 AM,20001268,P003660145,DISTRICT 4,9825,CHEMICAL IRRITANT,31XX READING RD,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-1314,01/25/1998 12:04:00 AM,9800064,P980250010,DISTRICT 3,9825,CHEMICAL IRRITANT,45XX WTH ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
4775,07/03/2009 03:05:00 PM,2009-132551,LCP090703001072,DISTRICT 4,9826,INJURY TO PRISONER,49XX READING RD,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-6497,11/29/2002 05:41:00 PM,20020752,P023330874,DISTRICT 3,9825,CHEMICAL IRRITANT,20XX SUTTER AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2748,11/09/2006 09:30:00 PM,2006-91107,P063131351,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX CHAPEL AV,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
5368,06/26/2010 02:13:00 AM,2010-145091,LCP100626000176,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E 6TH ST CINCINNATI OHIO,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
7935,07/04/2015 11:02:00 PM,2015-202929,LCP150074001409,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX VINE ST,39.1011587125041,-84.5122327253444,MALE,BLACK,JUVENILE,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
-3246,12/04/1999 08:57:00 AM,9901016,P993380435,DISTRICT 4,9826,INJURY TO PRISONER,10XX WM HOWARD TAFT,,,MALE,BLACK,UNKNOWN,MALE,HISPANIC/LATINO,N/A,N/A,N/A
5286,04/22/2010 12:17:00 AM,2010-143792,LCP100422000017,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,12XX BUNKER ALY,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5286,04/22/2010 12:17:00 AM,2010-143792,LCP100422000017,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,12XX BUNKER ALY,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5286,04/22/2010 12:17:00 AM,2010-143792,LCP100422000017,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,12XX BUNKER ALY,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
7660,11/01/2014 03:14:00 AM,2014-195925,LCP141101000212,DISTRICT 1,9826,INJURY TO PRISONER,17XX PLEASANT ST CINCINNATI OHIO 45210,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
7660,11/01/2014 03:14:00 AM,2014-195925,LCP141101000212,DISTRICT 1,9826,INJURY TO PRISONER,17XX PLEASANT ST CINCINNATI OHIO 45210,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-2143,11/17/1998 12:46:00 AM,9800904,P983210059,DISTRICT 1,9826,INJURY TO PRISONER,21XX  KINDEL,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-3301,12/28/1999 09:59:00 PM,9901071,P993621300,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,5XX ROCKDALE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7747,01/31/2015 08:26:00 AM,2015-198493,LCP150131001163,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,6XX GOHLSON,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3107,10/15/1999 10:40:00 PM,9900877,P992881535,DISTRICT 2,9826,INJURY TO PRISONER,45XX HOMER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-3107,10/15/1999 10:40:00 PM,9900877,P992881535,DISTRICT 2,9826,INJURY TO PRISONER,45XX HOMER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-4989,04/11/2001 09:30:00 PM,20010408,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,14XX VINE STREET,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-6914,05/05/2003 11:54:00 PM,20030338,P031251888,DISTRICT 4,9826,INJURY TO PRISONER,6XX LINCOLN ST,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
2444,05/19/2006 07:07:00 PM,2006-85748,P061391421,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,22XX OXFORD PL,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
2444,05/19/2006 07:07:00 PM,2006-85748,P061391421,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,22XX OXFORD PL,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-335,10/29/1996 07:18:00 PM,9600490,P963031048,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,6XX MAIN ST,39.1036545627376,-84.511458776143,MALE,WHITE,UNKNOWN,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
3370,08/12/2007 09:19:00 PM,2007-102262,P072241361,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,43XX W EIGHTH ST,,,MALE,WHITE,ADULT,MALE,ASIAN,N/A,N/A,N/A
-3537,03/10/2000 08:57:00 PM,20000226,P000701400,DISTRICT 3,9826,INJURY TO PRISONER,5XX ELBERON,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2299,06/02/2006 01:27:00 AM,2006-83524,P061530113,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,18XX KEWITT AL,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-5912,03/09/2002 05:31:00 AM,20020163,P020680359,DISTRICT 1,9826,INJURY TO PRISONER,14XX SYCAMORE ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
4876,08/26/2009 11:13:00 AM,2009-134944,LCP90826000605,DISTRICT 1,9826,INJURY TO PRISONER,9XX LIVINGSTON AV,,,MALE,HISPANIC/LATINO,ADULT,MALE,BLACK,N/A,N/A,N/A
5016,11/20/2009 07:30:00 PM,2009-138125,FCF091120000165,CVCS,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,4XX E MEHRING WAY,,,FEMALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
6060,08/20/2011 10:24:00 PM,2011-160057,LCP110820001509,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX GOVERNMENT PL,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-4903,04/10/2001 04:30:00 PM,20010322,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX RACE STREET,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8126,09/27/2015 09:46:00 PM,2015-205655,LCP150927001315,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,60XX TOWNEVISTA DR CINCINNATI OHIO 45224,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-1224,12/13/1997 04:38:00 PM,9701474,P973470067,DISTRICT 3,9825,CHEMICAL IRRITANT,31XX  BEEKMAN ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-594,03/27/1997 11:40:00 AM,9700238,B970860450,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,6XX CENTRAL AV 502,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-594,03/27/1997 11:40:00 AM,9700238,B970860450,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,6XX CENTRAL AV 502,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8549,08/11/2016 10:27:00 AM,2016-216045,LCP160811000493,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX PARK AV,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
3884,04/10/2008 10:33:00 PM,2008-112736,LCP080410001876,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,27XX MCMICKEN ST,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
1878,01/06/2006 05:51:00 PM,2006-77239,P060061094,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X W ELDER ST CINCINNATI OH 45202,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3015,09/27/1999 09:49:00 PM,9900784,P992701463,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX LINN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7835,04/27/2015 10:37:01 PM,2015-200961,LCP150427001686,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX W NORTHBEND RD,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3526,03/10/2000 12:40:00 AM,20000215,P000700020,DISTRICT 3,9825,CHEMICAL IRRITANT,45XX WTH,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1278,01/11/1998 01:10:00 PM,9800027,P980110476,DISTRICT 5,9826,INJURY TO PRISONER,16XX  BRUCE AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3460,02/22/2000 11:54:00 PM,20000149,P000531526,DISTRICT 5,9825,CHEMICAL IRRITANT,65WCMILLAN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-8200,09/14/2004 09:28:00 PM,20040704,P042581684,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX E MCMILLIAN ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6702,11/19/2012 07:54:00 PM,2012-176107,LCP121119001326,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,46XX KINGS RUN AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-7599,01/19/2004 02:49:00 PM,20040098,P040190768,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX E THIRTEENTH ST,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-7599,01/19/2004 02:49:00 PM,20040098,P040190768,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX E THIRTEENTH ST,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-3686,04/27/2000 10:45:00 PM,20000378,P001181683,DISTRICT 5,9826,INJURY TO PRISONER,41XX WITLER,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8942,05/30/2017 07:45:00 PM,2017-225131,170530001509,DISTRICT 3,9826,INJURY TO PRISONER,43XX GLENWAY AV C/O 45205,,,FEMALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-5087,05/20/2001 12:20:00 AM,20010507,P011391611,DISTRICT 5,9825,CHEMICAL IRRITANT,23XX VICTOR STREET,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3846,06/12/2000 03:56:00 AM,20000539,P001640231,DISTRICT 5,9826,INJURY TO PRISONER,22XX CLIFTON,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3846,06/12/2000 03:56:00 AM,20000539,P001640231,DISTRICT 5,9826,INJURY TO PRISONER,22XX CLIFTON,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1751,07/07/1998 01:00:00 AM,9800511,P981880074,DISTRICT 1,9826,INJURY TO PRISONER,13XX WALNUT ST,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
8798,02/13/2017 10:51:00 AM,2017-221846,CPD170213000533,CENTRAL BUSINESS DISTRICT,9826,INJURY TO PRISONER,3XX EGGLESTON ST,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
-3219,11/27/1999 11:01:00 PM,9900989,P993311284,DISTRICT 3,9825,CHEMICAL IRRITANT,32XX BOWLING GREEN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
9601,10/03/2018 09:25:00 PM,2018-240686,CPD181003001650,DISTRICT 5,9826,INJURY TO PRISONER,29XX COLERAIN AV CINCINNATI OHIO,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3207,11/25/1999 02:02:00 AM,9900977,P993290122,DISTRICT 4,9825,CHEMICAL IRRITANT,34XX HARVEY,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
9270,02/25/2018 06:30:00 PM,2018-233578,180225001095,CENTRAL BUSINESS DISTRICT,9826,INJURY TO PRISONER,XX GANO AL,,,FEMALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
5906,05/20/2011 02:15:00 AM,2011-156663,LCP110520000081,DISTRICT 4,9826,INJURY TO PRISONER,2XX GOODMAN AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
6530,07/10/2012 04:45:00 AM,2012-171396,LCP120710000201,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,24XX QUATMAN AV,,,FEMALE,BLACK,JUVENILE,FEMALE,WHITE,N/A,N/A,N/A
-791,06/28/1997 09:07:00 PM,9700438,P971791189,DISTRICT 4,9826,INJURY TO PRISONER,11XX LOIS AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6007,07/18/2011 10:55:00 AM,2011-158886,LCP110718000529,DISTRICT 2,9826,INJURY TO PRISONER,59XX BRAMBLE AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3084,09/28/1999 10:29:00 AM,9900854,P992710526,DISTRICT 5,9826,INJURY TO PRISONER,57XX HAMILTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3677,01/05/2008 09:12:00 PM,2008-108256,LCP080105001331,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX QUEBEC AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-4201,09/22/2000 04:10:00 PM,20000897,P002660936,DISTRICT 1,9825,CHEMICAL IRRITANT,9XX BANK ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8270,01/07/2016 10:40:00 PM,2016-208851,LCP160107001423,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX LAFUEILLE CRK APT 1 CINCINNATI OHIO 45211,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
7942,06/30/2015 08:15:00 PM,2015-202992,LCP50630001361,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,62XX KELLOGG AV,,,MALE,WHITE,JUVENILE,MALE,WHITE,N/A,N/A,N/A
1542,09/08/2005 09:30:00 PM,2005-72616,P052510210,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX W FOURTEENTH ST CINCINNATI OHIO 45202,,,MALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A
-3229,12/03/1999 06:00:00 PM,9900999,P993371130,DISTRICT 1,9825,CHEMICAL IRRITANT,15XX CENTRAL PKWY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-7207,08/21/2003 02:31:00 AM,20030632,P032330149,DISTRICT 3,9825,CHEMICAL IRRITANT,12XX PURCELL AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
379,12/12/2004 04:48:00 PM,2004-52956,P043470790,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX GLENDORA AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5951,06/17/2011 06:36:00 PM,2011-157728,LCP110617001296,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX HARRISON AV CINCINNATI OHIO 45211,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5951,06/17/2011 06:36:00 PM,2011-157728,LCP110617001296,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX HARRISON AV CINCINNATI OHIO 45211,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
3881,04/12/2008 04:08:00 PM,2008-112615,LCP080412000915,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,36XX FOREST OAK CT,,,FEMALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
6659,10/06/2012 08:18:00 PM,2012-174628,LCP121006001359,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX E 5TH ST,,,MALE,BLACK,JUVENILE,MALE,BLACK,N/A,N/A,N/A
-921,08/14/1997 12:01:00 AM,9700572,P972251388,DISTRICT 4,9825,CHEMICAL IRRITANT,NB I 71  3MILE POST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6426,05/04/2012 11:49:00 AM,2012-168952,LCP120504000731,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,52XX VIVIAN CT,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-7543,01/24/2004 10:46:00 AM,20040042,P040210491,DISTRICT 3,9825,CHEMICAL IRRITANT,13XX SUNSET AV,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
5006,11/03/2009 03:48:00 PM,2009-137804,LCP091103001033,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,X E 15TH ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5006,11/03/2009 03:48:00 PM,2009-137804,LCP091103001033,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,X E 15TH ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
1190,05/29/2005 10:59:00 PM,2005-67182,P051491475,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,37XX BEEKMAN AV,,,MALE,BLACK,JUVENILE,FEMALE,WHITE,N/A,N/A,N/A
-1757,07/05/1998 02:50:00 AM,9800517,P981860005,DISTRICT 1,9825,CHEMICAL IRRITANT,9XX YORK ST,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
5565,10/12/2010 12:39:00 AM,2010-149156,LCP101012000032,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,20XX WESTWOOD NORTHERN BLVD CINTI OH 45225,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-7844,05/12/2004 02:01:00 AM,20040344,P041340153,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX RODNEY ALLEY,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
9332,04/18/2018 07:57:00 PM,2018-235145,180418001456,DISTRICT 3,9826,INJURY TO PRISONER,12XX FIRST AV,,,FEMALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A
6467,06/01/2012 02:06:00 PM,2012-170012,LCP120601000880,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX WELLS ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-6900,05/04/2003 01:50:00 AM,20030324,P031231700,DISTRICT 5,9825,CHEMICAL IRRITANT,23XX STRATFORD ST,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
5000,11/07/2009 09:38:00 PM,2009-137652,LCP091107001536,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,24XX KENTON AV,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-2201,12/19/1998 05:29:00 PM,9800962,P983530854,DISTRICT 1,9825,CHEMICAL IRRITANT,XX W 15TH,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
9307,03/27/2018 07:13:00 PM,2018-234486,CPD180327001238,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,41XX READING RD CINCINNATI OHIO 45219,,,FEMALE,WHITE,ADULT,FEMALE,WHITE,N/A,N/A,N/A
7658,10/30/2014 05:43:00 PM,2014-195892,LPC141030001180,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,6XX PROSPECT PL CINCINNATI OH 45229,,,MALE,BLACK,JUVENILE,MALE,BLACK,N/A,N/A,N/A
7231,01/05/2013 04:36:00 AM,2013-187515,LCP130105000224,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,19XX RACE ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
7231,01/05/2013 04:36:00 AM,2013-187515,LCP130105000224,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,19XX RACE ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
582,10/27/2003 09:41:00 PM,2005-60534,PO33001522,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,25XX GOBEL CT,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
582,10/27/2003 09:41:00 PM,2005-60534,PO33001522,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,25XX GOBEL CT,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-2541,03/31/1999 05:37:00 PM,9900309,P990900949,DISTRICT 1,9826,INJURY TO PRISONER,14XX MAIN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2752,07/14/1999 12:30:00 AM,9900520,P991950010,DISTRICT 3,9825,CHEMICAL IRRITANT,33XX MCHENRY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5236,07/05/2001 04:33:00 PM,20010656,P011861318,DISTRICT 3,9826,INJURY TO PRISONER,10XX ROSS AV,,,MALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-4099,08/26/2000 01:39:00 PM,20000795,P002390709,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX WITLER ST,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
8318,02/18/2016 09:01:00 PM,2016-210194,LCP160218001367,DISTRICT 3,9826,INJURY TO PRISONER,61XX GLENWAY AV CINCINNATI OH 45238,,,FEMALE,WHITE,ADULT,FEMALE,WHITE,N/A,N/A,N/A
6680,10/09/2012 10:00:00 AM,2012-175387,LCP121009000417,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX E COURT ST,,,FEMALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
